Index,Institute code,College Name,Address
22,3023,"St. Xavier's Technical Institute, Mumbai","Mahim Causeway Road, Mahim, Mumbai , 400016"
23,3024,"Sophia Shree B.K. Somani Memorial Polytechnic), Mumbai","Sophia Shree B. K. Somani Memorial Polytechnic, Mumbai , 400026"
24,3025,"Shri Bhagubhai Mafatlal Polytechnic, Mumbai","N.R.G. Gadkari Marg, Mumbai , 400056"
25,3026,"M. H. Saboo Siddik Polytechnic, Mumbai","Anjuman-I-Islam's M.H.Saboo Siddik Polytechnic, 8, Shepherd Rd, Byculla, Mumbai"
26,3027,"Premlila Vithaldas Polytechnic(Womens),Mumbai","SNDT Women's University,Juhu Road,Santacruz (W) Mumbai - Suburban , 400049"
27,3028,"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai","Fr. Agnel Ashram Mumbai , 400050"
28,3032,"S.N.D.T Women's University P.G.D. of Computer Science, Mumbai","Sir Vithaldas Thackersey Vidya Vihar,  Juhu Road, Santacruz(w), Mumbai - 400049"
29,3033,"Dr. Babasaheb Ambedkar Technological University, Lonere","Vidyavihar, P.O. Lonere, Ta-Mangaon Dist. Raigad "
30,3035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai","SNDT  Women's University, Mumbai Juhu Campus, Santacruz (W), Mumbai "
31,3036,"Institute of Chemical Technology, Matunga, Mumbai","Nathalal Parikh Marg, Matunga, Mumbai "
32,3039,"Hydrabad (Sind) National Collegiate K.M.Kundanani Pharmacy Polytechnic,Ulhasnagar Dist-Thane","Opp. Ulasnagar Railway Station, Thane , 421003"
33,3040,"Dr. Babasaheb Ambedkar Tech.University,Institute of Petrochemical Engineering,Lonere,Raigad","Vidyavihar,P.O.Lonere,Tal-Mangaon. Raigad , 402103"
34,3041,PREMLILA VITHALDAS POLYTECHNIC Pharmacy shifted to 3027 from 3041,"SNDT Women's University, Juhu Road, Santacruz(W), Mumbai sub"
35,3101,"Bharti Vidyapeeth's Institute of Management Studies & Research, Navi Mumbai",Sector 8 CBD Belapur Navi Mumbai
36,3102,"Chetana's Ramprasad Khandelwal Institute of Management & Research, Mumbai","Survey No. 341, Govt. Colony, Bandra (E), Mumbai  400051"
37,3103,"K. J. Somaiya Institute of Management Studies & Research, Mumbai","Vidyanagar, Vidyavihar (E),  Mumbai  400077"
38,3104,"Lala Lajpatrai Institute of Management, Mumbai","Lala Lajpatrai Marg,  Mahalaxmi, Mumbai - 34."
39,3105,"Mahatma Gandhi Mission's Institute of Management Studies & Research, Kamothe","At.Junction NH4,Sion Panvel Express Highway,Kalamboli,Kamothe,Navi Mumbai Raigad , 400706"
40,3106,"MET's Institute of Management, Mumbai","Gen. Arunkumar Vaidya Chowk, Bandra (W), Mumbai  400050"
41,3107,"Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai","Lakhamsi Nappo Road, Next To R.A. Podar College of Commerce, Matunga(E), Mumbai 400019 "
42,3108,"Rizvi Institute of Management Studies & Research, Mumbai","New Rizvi Education Complex, Off. Carter Road,  Bandra (W) Mumbai , 400050"
43,3109,"S.I.E.S. College of Management Studies, Mumbai","Sri. Chandrasekarandra Saraswathy Vidyapuram,  Plot 1 E, Sector-5, Nerul, Navi Mumbai Raigad , 400706"
44,3110,"Vivekanand Education Society's Institute of Management Studies & Research, Mumbai","495-497,Collectors' Colony, Near Muncipal School, Chembur  Mumbai , 400074"
45,3111,"N. L. Dalmia Institute of Management Studies and Research, Mumbai","Srishti, Sector-I, Mira Road (E), Mumbai Thane , 401104"
46,3112,"Indian Education Society's Management College & Research Centre, Mumbai","Vishwakarma M.D ,Lotlikar Vidya Sankul, 791, Shri Krishnachand Marg,  Opp. Lilavati Hospital, Bandra Reclamation, Bandra (W), Mumbai , 400050"
47,3113,"Maratha Mandir's Babasaheb Gawde Institute of Management Studies, Mumbai","4th Floor, Maratha Mandir's Annex, Babasaheb Gawde Chowk, Dr.  A.B. Nair Rd.,  Mumbai Central, Mumbai (M.S.)  400008"
48,3114,"Mahatma Education Society's Pillai's Institute of Management Studies & Research, New Panvel","Dr. K. M. Vasudevan Pillai's Campus 10, Sector 16, Podi No. 2, New Panvel, Maharashtra  Raigad , 410206"
49,3115,"Anjuman-I-Islam's Allana Institute of Management Studies, Mumbai","Anjuman-I-Islam's Secretariat Bldg., Badruddin Tayyabji Marg, Off. 92, D.N. Road, Opp. CST, Mumbai  400001"
50,3116,"Agnel Charities Agnel Seva Sangha's Fr. C. Rodrigues Inst. of Management. Studies, Vashi, Navi Mumbai","Sector 9A, Vashi, Navi Mumbai, Thane"
51,3117,"Gurunanak Institute of Management Studies, Mumbai","Khalsa College Campus, Annex Building,  King's Circle, Matunga, Mumbai  400019"
52,3118,"Zagdu Singh Chartitable Trust's Thakur Institute of Management Studies & Research, Mumbai","Shyam Narayan Thakur Marg, Thakur Village, Kandivali (E), Mumbai 400101"
53,3119,"St. Francis Institute of Management & Research, Mumbai","Mt. Poinsur, S.V.P. Road, Borivali(W), Mumbai 400103"
54,3120,"Atharva Educational Trust, Atharva Institute of Management Studies, Mumbai","S. No. 263, Plot No. 8-12, Malad-Marve Road, Charkop Naka, Malad(W), Mumbai  400095"
55,3121,"Sahajeevan Shikshan Sanstha's Madanbhai Sura Institute of Business Management, Khed Dist. Ratnagiri","At Post Taluka Khed,  District-Ratnagiri "
56,3122,"IBSAR Trust's IBSAR Institute of Management Studies, Karjat, Raigad","Plot no.159 B,Dahivali Tarfe Need, Karjat, Dist: Raigad  410201"
57,3123,"Parle Tilak Vidyalaya Asso.'s Institute of Management, Mumbai","Chitrakar Ketkar Marg, Vile Parle(E), Mumbai   400057"
58,3124,"Saraswati Education Society, Group of Institutions ( Integrated Campus), Diksal Dist. Raigad","Sau.Vandana N.Tasgaonkar Technical Education Complex, Plot No.14, Village Diksal Post Koshane, Kalyan-Karjat Road,"
59,3125,"Audyogik Shikshan Mandal's Institute of Management & Computer Studies, Thane","C-4 Wagle Industial Estate, NearMulund Check Naka Thane(Mumbai)  400604"
60,3127,"NCRD's Sterling Institute of Management Studies, Navi Mumbai","Opp to Darave petrol pump,Plot No 93, Sector 19 Nerul (E), Navi mumbai  400706"
61,3128,"Mandar Education Society's Rajaram Shinde College of Master of Business Adminstration, Chiplun","At Pedhambe Po. Alore ,Tal. Chiplun Dist: Ratnagiri 415603"
62,3129,"Mumbai Institute of Management & Research, Mumbai","Knowledge Centre, Behind- MbPT Hospital Nadkarni Park, Near railway station,Wadala(East), Mumbai - 400 037"
63,3130,"VPM's Dr. V.N. Bedekar Institute Of Management Studies, Mumbai","Jnanadweepa, Chendani, Bunder Road, Thane (W)   400601"
64,3131,"Hashmatrai and Gangaram Himathmal Mansukhani Institute of Management, Ulhasnagar, Thane","Opposite Ulhasnagar Railway Station,  Smt. CHM College Campus, Ulhasnagar 421 003"
65,3132,"Dr. G D Pol Foundation YMT College of Management, Navi Mumbai","Intitutional Area, Sector 4  Kharghar, Navi Mumbai 410 210"
66,3133,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane","Sonadevi Compaund, Temghar, Near Octroi Naka,  Kalyan Road, Bhivandi, Dist. Thane   421302"
67,3134,"Bombay St. Xavier College Soc.'s Xavier Institute of Management & Research, Mumbai","St. Xavier College Campus, 5, Mahapalika Marg, Mumbai  400001"
68,3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai","Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai "
69,3136,"Oriental Education Society Oriental Institute of Management, Navi Mumbai","Plot No 149, Sector 12, Vashi Navi Mumbai 400703"
70,3138,"Gahlot Institute of Management Studies and Research, Navi Mumbai","Plot No.59, Sector-14, Koperkhairane, Navi Mumbai 400709 "
71,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai","Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai "
72,3140,"Vighnaharata Trust, Shivajirao S. Jodhale Institute of Management Science and Research, Asangaon","Asangaon, Opp. Asangaon Railway Station, Tal.Shahapur, Dist. Thane  421601"
73,3142,"Navjeevan Education Society's Polytechnic, Mumbai","Ganesh Nagar,Ganesh Path Mumbai , 400078"
74,3143,"Zagdu Singh Charitable Trust's Thakur Polytechnic, Mumbai","Thakur Complex, West To W.E.Highway Mumbai "
75,3144,"Mahavir Education Trust's Shah & Anchor Kutchhi Polytechnic, Mumbai","Near Chhatrapati Shivaji Maharaj Chowk, , Waman Tukaram Patil Marg  Mumbai , 400088"
76,3145,"Vivekanand Education Society's Polytechnic, Mumbai","Sindhi Society,Chembur Mumbai , 400071"
77,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai","Sector 4,Ploat No-17,Kharghar, Navi Mumbai. Dist. Raigad "
78,3147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat","Near Bhiv puri Road Railway statiion Chandai ,Tal Karjat, Dist Raigad"
79,3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Vaman Tukaram Patil Marg, Chembur, Mumbai"
80,3149,"Shree Shankar Narayan Education Trust's Rohidas Patil Institute of Management Studies, Bhayandar","Mahavidyalaya Marg, Navghar,  Bhayandar (E), Dist Thane  401105"
81,3151,"Vishweshwar Education Society's Indira Institute of Business Management, Navi Mumbai","Plot No. -2, Sector 9,  Sanpada, Navi Mumbai. Raigad , 400705"
82,3153,"Humera Khan Institute Of Mangement Studies & Reserch, Mumbai","Mhada Complex, Pratiksha Nagar,  Oshiwara, Jogeshwari (W), Mumbai  400102"
83,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai","Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad "
84,3155,"SYCSPM'S Sinhgad Institute of Business Management, Chandivali, Powai, Mumbai","Plot No. 126, MHADA Colony, Chandivali, Powai, Mumbai.  400072"
85,3157,"Shree Ghatkopar Sarvajanik Jivdaya Khatur's Aruna Manharlal Shah Institute of Management & Research, Ghatkopar","R. B. Kadam Marg(Jivdaya Lane), Near MTNL Exchange, Agra Road, Ghatkopar (w) Mumbai  400086"
